condition,chain,generation,epoch,generation_in_epoch,type,informative,cost,error,success
dif_lrn,0,0,0,0,H,1,0.0,,
dif_lrn,0,1,0,0,H,1,0.4444444444444444,0.5555555555555556,
dif_lrn,0,2,0,0,R,0,0.9727652780181633,0.3333333333333333,
dif_lrn,0,3,0,0,D,0,1.2788638893696598,0.6666666666666666,
dif_lrn,0,4,0,0,D,0,1.2788638893696598,0.0,
dif_lrn,0,5,0,0,D,0,1.584962500721156,0.2222222222222222,
dif_lrn,0,6,0,0,D,0,1.584962500721156,0.0,
dif_lrn,0,7,0,0,D,0,1.584962500721156,0.0,
dif_lrn,0,8,0,0,D,0,1.584962500721156,0.0,
dif_lrn,0,9,0,0,D,0,1.584962500721156,0.0,
dif_lrn,1,0,0,0,H,1,0.0,,
dif_lrn,1,1,0,0,H,1,0.6666666666666666,1.1111111111111112,
dif_lrn,1,2,0,0,R,0,1.2788638893696598,0.7777777777777778,
dif_lrn,1,3,0,0,R,0,1.584962500721156,0.3333333333333333,
dif_lrn,1,4,0,0,R,0,1.584962500721156,0.0,
dif_lrn,1,5,0,0,R,0,1.584962500721156,0.0,
dif_lrn,1,6,0,0,R,0,1.584962500721156,0.0,
dif_lrn,1,7,0,0,D,0,1.584962500721156,0.3333333333333333,
dif_lrn,1,8,0,0,D,0,1.584962500721156,0.0,
dif_lrn,1,9,0,0,D,0,1.584962500721156,0.0,
dif_lrn,2,0,0,0,H,1,0.0,,
dif_lrn,2,1,0,0,H,1,0.6666666666666666,0.3333333333333333,
dif_lrn,2,2,0,0,R,0,1.0566416671474375,0.4444444444444444,
dif_lrn,2,3,0,0,R,0,1.584962500721156,0.3333333333333333,
dif_lrn,2,4,0,0,R,0,1.584962500721156,0.0,
dif_lrn,2,5,0,0,R,0,1.584962500721156,0.0,
dif_lrn,2,6,0,0,R,0,1.584962500721156,0.0,
dif_lrn,2,7,0,0,R,0,1.2788638893696598,0.1111111111111111,
dif_lrn,2,8,0,0,R,0,1.2788638893696598,0.1111111111111111,
dif_lrn,2,9,0,0,R,0,1.2788638893696598,0.2222222222222222,
dif_lrn,3,0,0,0,H,1,0.0,,
dif_lrn,3,1,0,0,H,1,0.7505430557959408,0.6666666666666666,
dif_lrn,3,2,0,0,R,0,1.2788638893696598,0.4444444444444444,
dif_lrn,3,3,0,0,R,0,1.2788638893696598,0.0,
dif_lrn,3,4,0,0,R,0,0.9727652780181633,0.2222222222222222,
dif_lrn,3,5,0,0,R,0,1.584962500721156,0.3333333333333333,
dif_lrn,3,6,0,0,R,0,1.584962500721156,0.0,
dif_lrn,3,7,0,0,R,0,1.2788638893696598,0.1111111111111111,
dif_lrn,3,8,0,0,R,0,1.584962500721156,0.1111111111111111,
dif_lrn,3,9,0,0,R,0,1.584962500721156,0.0,
dif_lrn,4,0,0,0,H,1,0.0,,
